file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,delete_employee_btn_lblMouseClicked/1[java.awt.event.MouseEvent],FALSE,696,2,3,1,2,1,4,5,0,1,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,9,2,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,logoutMouseClicked/1[java.awt.event.MouseEvent],FALSE,787,1,2,1,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,resetLblColor/1[javax.swing.JLabel],FALSE,75,0,4,4,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,2,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],FALSE,735,1,3,1,2,1,5,15,0,0,1,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,18,2,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,main/1[java.lang.String[]],FALSE,944,1,1,0,1,7,10,26,0,0,1,10,0,0,1,0,1,0,1,0,0,0,3,0,0,1,19,9,0,TRUE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,"ManagerUI/3[StaffManagement.BusinessLogic.AddEmployeeController,StaffManagement.BusinessLogic.ListEmployeesController,java.sql.Connection]",TRUE,64,3,1,0,1,1,1,6,0,0,3,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,14,1,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,headerMousePressed/1[java.awt.event.MouseEvent],FALSE,771,0,1,1,0,1,3,5,0,0,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,8,2,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_emp_list_btn_lblMouseClicked/1[java.awt.event.MouseEvent],FALSE,753,2,7,4,3,1,5,11,0,1,1,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,21,2,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,save_employee_btn_lblMouseClicked/1[java.awt.event.MouseEvent],FALSE,870,2,3,1,2,8,7,31,0,7,1,7,1,2,0,3,0,0,5,3,10,0,1,0,0,0,16,2,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_update_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],FALSE,717,1,3,1,2,1,5,15,0,0,1,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,19,2,0,FALSE
