file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\blog_demos-master\elasticsearch-tutorials\object-from-json\src\test\java\com\bolingcavalry\fromjson\service\impl\EsServiceImplTest.java,com.bolingcavalry.fromjson.service.impl.EsServiceImplTest,createByString/0,FALSE,75,2,1,0,1,1,1,5,0,2,0,1,0,0,0,0,0,0,21,0,2,1,0,0,0,0,8,0,0,FALSE
C:\blog_demos-master\jacksondemo\annotation\src\main\java\com\bolingcavalry\jacksondemo\annotation\fieldannotation\JacksonInjectDeserialization.java,com.bolingcavalry.jacksondemo.annotation.fieldannotation.JacksonInjectDeserialization,main/1[java.lang.String[]],FALSE,55,3,0,0,0,1,4,9,0,3,1,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,11,9,0,FALSE
C:\blog_demos-master\k8spvdemo\src\main\java\com\bolingcavalry\k8spvdemo\K8spvdemoApplication.java,com.bolingcavalry.k8spvdemo.K8spvdemoApplication,main/1[java.lang.String[]],FALSE,9,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,FALSE
C:\blog_demos-master\pinpointtracedemo\src\main\java\com\bolingcavalry\bean\Student.java,com.bolingcavalry.bean.Student,getName/0,FALSE,15,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\blog_demos-master\pinpointtracedemo\src\main\java\com\bolingcavalry\bean\Student.java,com.bolingcavalry.bean.Student,getAge/0,FALSE,23,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\blog_demos-master\pinpointtracedemo\src\main\java\com\bolingcavalry\bean\Student.java,com.bolingcavalry.bean.Student,setName/1[java.lang.String],FALSE,19,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\blog_demos-master\pinpointtracedemo\src\main\java\com\bolingcavalry\bean\Student.java,com.bolingcavalry.bean.Student,setAge/1[int],FALSE,27,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\blog_demos-master\spring-cloud-square-tutorials\consumer-retrofit-okhttp\src\main\java\com\bolingcavalry\consumer\service\HelloService.java,com.bolingcavalry.consumer.service.HelloService,hello/1[java.lang.String],FALSE,12,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\parsing\EmptyReaderEventListener.java,org.springframework.beans.factory.parsing.EmptyReaderEventListener,defaultsRegistered/1[org.springframework.beans.factory.parsing.DefaultsDefinition],FALSE,29,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\parsing\EmptyReaderEventListener.java,org.springframework.beans.factory.parsing.EmptyReaderEventListener,aliasRegistered/1[org.springframework.beans.factory.parsing.AliasDefinition],FALSE,39,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\parsing\EmptyReaderEventListener.java,org.springframework.beans.factory.parsing.EmptyReaderEventListener,importProcessed/1[org.springframework.beans.factory.parsing.ImportDefinition],FALSE,44,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\parsing\EmptyReaderEventListener.java,org.springframework.beans.factory.parsing.EmptyReaderEventListener,componentRegistered/1[org.springframework.beans.factory.parsing.ComponentDefinition],FALSE,34,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
C:\blog_demos-master\quarkus-tutorials\basic-di\src\test\java\com\bolingcavalry\ExcludeInterceptorTest.java,com.bolingcavalry.ExcludeInterceptorTest,test/0,FALSE,17,2,2,0,2,1,3,5,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,FALSE
C:\blog_demos-master\dubbopractice\springbootzkprovider\src\main\java\com\bolingcavalry\springbootzkprovider\DemoServiceImpl.java,com.bolingcavalry.springbootzkprovider.DemoServiceImpl,sayHello/1[java.lang.String],FALSE,17,0,0,0,0,2,6,10,1,0,1,6,0,0,0,0,1,0,4,1,0,2,1,0,0,0,11,1,1,FALSE
C:\blog_demos-master\grpc-tutorials\grpc-lib\src\generated\main\java\com\bolingcavalry\grpctutorials\lib\Buyer.java,com.bolingcavalry.grpctutorials.lib.Buyer$Anonymous1,"parsePartialFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",FALSE,471,2,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,FALSE
C:\blog_demos-master\flinksinkdemo\src\main\java\com\bolingcavalry\addsink\CassandraTuple2Sink.java,com.bolingcavalry.addsink.CassandraTuple2Sink,main/1[java.lang.String[]],FALSE,22,7,0,0,0,1,17,25,0,5,1,17,0,0,0,0,0,0,12,4,5,0,0,1,0,0,29,9,0,FALSE
C:\blog_demos-master\kafka_producer\src\main\java\com\bolingcavalry\service\impl\KafkaServiceImpl.java,KafkaServiceImpl,"produce/2[String,String]",FALSE,18,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\blog_demos-master\mybatis\relatedoperation\src\main\java\com\bolingcavalry\relatedoperation\RelatedOperationApplication.java,com.bolingcavalry.relatedoperation.RelatedOperationApplication,main/1[java.lang.String[]],FALSE,11,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,FALSE
C:\blog_demos-master\leetcode\src\practice\RLEIterator.java,practice.RLEIterator,RLEIterator/1[int[]],TRUE,15,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,FALSE
C:\blog_demos-master\leetcode\src\practice\RLEIterator.java,practice.RLEIterator,next/1[int],FALSE,19,0,1,1,0,4,0,17,3,1,1,0,0,0,1,1,0,0,0,6,6,2,2,0,0,0,5,1,0,FALSE
